,imdb_id,rating,rating_count,review_count,critics_count
15161,tt0368668,3.1,2836,13,10
15162,tt0324242,6.3,2970,23,34
15163,tt0090206,6.6,2869,11,6
15164,tt0383846,8.4,7562,12,3
15165,tt1056437,6.8,4781,33,65
15166,tt0405866,6.7,2359,19,63
15167,tt0338977,6.9,2527,19,34
15168,tt0102050,6.8,2529,22,19
15169,tt0068457,6.8,3385,78,77
15170,tt0074857,7.4,3017,21,17
15171,tt1329454,6.6,5554,30,104
15172,tt0843270,7.7,2387,9,11
15173,tt0892074,4.3,867,16,15
15174,tt0046424,6.1,231,8,3
15175,tt0054380,7.1,98,3,3
15176,tt0110524,6.2,2218,16,14
15177,tt1249294,5.2,1793,25,16
15178,tt0956101,7.3,1422,7,25
15179,tt0060978,5.7,226,8,4
15180,tt0027255,5.6,118,8,1
15181,tt1219836,5.9,3852,42,9
15182,tt0064777,7.1,253,6,6
15183,tt0808285,6.9,3845,15,61
15184,tt0381940,6.2,16899,66,65
15185,tt1179056,5.2,80707,659,365
15186,tt1341167,7.3,61856,160,244
15187,tt0472840,6.2,71,0,1
15188,tt0075774,5.9,3155,30,14
15189,tt1111890,5.8,8829,18,18
15190,tt1237900,7.2,386,8,9
15191,tt1376195,6.5,3186,28,10
15192,tt0492389,3.8,13346,89,100
15193,tt1355640,7.7,2307,15,27
15194,tt1241338,7.0,511,9,18
15195,tt1640680,7.6,8535,28,83
15196,tt0036384,6.6,1231,35,5
15197,tt1132623,7.7,23495,61,42
15198,tt1210106,5.4,6874,28,10
15199,tt1379177,6.8,22297,100,204
15200,tt0118528,7.8,11297,88,19
15201,tt0468774,5.6,293,4,6
15202,tt0955308,6.7,226403,567,345
15203,tt0065695,7.6,1657,9,30
15204,tt0307076,5.7,1563,1,1
15205,tt1428457,6.8,251,0,1
15206,tt0046004,7.6,1931,30,40
15207,tt1368116,6.8,8309,52,62
15208,tt0071566,5.7,1527,26,10
15209,tt0048191,7.4,1556,28,15
15210,tt1546653,7.3,1503,6,24
15211,tt0094642,5.8,2482,77,21
15212,tt0027118,8.0,922,7,7
15213,tt0057933,7.6,1366,22,3
15214,tt0036922,7.3,1463,34,12
15215,tt1355599,7.2,687,7,12
15216,tt0460435,4.4,2209,41,15
15217,tt1333631,6.8,1611,6,27
15218,tt1524539,8.4,1539,14,7
15219,tt0250264,6.3,494,10,4
15220,tt1284028,7.5,1894,13,19
15221,tt1249414,6.7,157,2,37
15222,tt1042424,6.8,2934,14,45
15223,tt0491044,6.7,2411,10,49
15224,tt0045070,7.0,3207,39,32
15225,tt0363249,6.7,2135,25,51
15226,tt0079858,6.0,2076,39,14
15227,tt0773318,4.6,1725,10,8
15228,tt0821442,7.4,6344,19,30
15229,tt0239381,5.7,2417,45,18
15230,tt0066207,7.1,3138,36,40
15231,tt0294725,4.9,1720,4,2
15232,tt0312859,8.5,5139,39,20
15233,tt0855729,7.4,3191,10,37
15234,tt0479341,6.3,3263,32,75
15235,tt1480660,6.7,4358,27,19
15236,tt0269856,7.7,1414,10,4
15237,tt1236484,4.9,2266,23,22
15238,tt1331307,5.7,10785,73,81
15239,tt1196204,6.9,18423,71,70
15240,tt0372321,7.0,178,8,21
15241,tt1120985,7.4,156645,304,379
15242,tt1103153,5.4,77470,122,139
15243,tt0073498,7.5,52,0,1
15244,tt0067540,7.4,47,0,1
15245,tt0109744,5.5,603,2,
15246,tt0011908,6.7,81,1,3
15247,tt0067929,5.3,457,23,43
15248,tt0431340,4.0,1761,52,24
15249,tt0428040,9.2,89,3,2
15250,tt0144589,6.7,221,5,7
15251,tt0035614,5.6,213,13,1
15252,tt0035170,6.0,315,14,2
15253,tt0031595,6.1,334,14,3
15254,tt0067108,7.3,5140,20,9
15255,tt0082479,5.4,4229,90,111
15256,tt1484954,5.9,616,9,10
15257,tt1462758,7.0,129472,471,365
15258,tt1235072,7.2,314,9,36
15259,tt0016201,6.2,184,10,3
15260,tt0058142,7.0,594,16,3
15261,tt1288645,6.9,1432,10,28
15262,tt1459026,6.1,1199,7,24
15263,tt0484211,7.4,192,3,6
15264,tt0472562,7.7,2880,18,21
15265,tt0473075,6.6,239462,470,304
15266,tt0047840,6.7,2764,26,24
15267,tt0878835,6.6,10269,55,132
15268,tt0863136,7.6,3447,22,15
15269,tt0065839,7.0,911,18,4
15270,tt1425257,6.4,7776,42,75
15271,tt1327200,4.6,2350,30,35
15272,tt1038011,3.8,1443,20,22
15273,tt1479380,7.9,540,8,11
15274,tt1081935,6.9,5910,36,63
15275,tt0098197,7.0,385,9,7
15276,tt0059440,7.0,2316,46,56
15277,tt0397612,8.1,3401,15,1
15278,tt0439784,7.9,2478,14,1
15279,tt0475390,5.8,597,26,21
15280,tt0022485,7.4,995,10,18
15281,tt1261945,4.4,64282,299,219
15282,tt0069528,6.7,1601,29,8
15283,tt0042256,6.4,1422,36,5
15284,tt0045161,7.2,1939,42,24
15285,tt1263679,7.4,1504,20,13
15286,tt0072777,8.4,2888,16,1
15287,tt1166110,6.5,400,1,7
15288,tt0790627,5.6,3032,27,35
15289,tt1226229,6.4,154782,197,221
15290,tt1278124,5.2,1248,10,21
15291,tt0914863,7.1,76898,264,58
15292,tt0076507,6.1,1318,32,16
15293,tt0019237,7.3,1266,22,8
15294,tt0085234,7.3,1242,21,8
15295,tt0028203,6.7,1368,37,11
15296,tt1546036,6.3,3320,26,9
15297,tt0071676,6.9,91,5,
15298,tt1247657,6.6,4867,4,26
15299,tt1212436,5.3,43552,97,146
15300,tt1017460,5.8,83730,358,369
15301,tt1422122,7.9,4301,17,65
15302,tt0097884,7.2,2094,10,15
15303,tt0104008,7.6,2993,22,21
15304,tt0089366,6.7,2489,23,29
15305,tt1426378,7.2,6148,15,86
15306,tt0403645,4.1,3663,29,21
15307,tt0059362,6.7,2339,27,19
15308,tt0905329,6.7,3788,15,8
15309,tt1126596,6.7,10668,31,20
15310,tt0892318,6.6,80573,161,158
15311,tt1073105,5.8,35950,142,125
15312,tt1498870,2.6,5822,44,15
15313,tt0063493,8.2,1097,5,4
15314,tt1263778,6.8,5253,13,32
15315,tt0995747,7.3,2753,18,24
15316,tt0790612,6.3,566,5,8
15317,tt0049259,7.5,902,16,11
15318,tt0857275,6.2,2217,30,47
15319,tt0997246,8.0,7277,15,54
15320,tt1258197,6.9,84516,133,80
15321,tt0065233,7.7,2104,18,18
15322,tt0110278,7.2,445,3,3
15323,tt0032846,6.4,724,18,5
15324,tt1057581,5.7,3530,20,15
15325,tt0014417,7.6,1367,17,23
15326,tt0245209,7.1,110,1,1
15327,tt0082088,7.7,1299,10,14
15328,tt0036962,7.1,1517,30,13
15329,tt0485272,5.2,4564,51,10
15330,tt1392744,4.7,2274,15,9
15331,tt0068286,6.7,1101,37,4
15332,tt0021549,7.7,855,23,7
15333,tt0032413,7.5,1179,29,10
15334,tt0043660,7.0,2157,36,19
15335,tt0887745,6.9,1366,20,20
15336,tt0050347,7.2,1950,34,13
15337,tt1225703,6.1,425,9,3
15338,tt1035730,7.1,5179,39,49
15339,tt1370889,6.8,2554,20,12
15340,tt1242539,4.5,495,9,20
15341,tt0035460,6.4,1223,22,4
15342,tt0043044,7.0,1248,33,9
15343,tt1075747,4.7,48896,184,180
15344,tt0429493,6.8,224042,369,314
15345,tt0056017,7.3,955,57,3
15346,tt1391544,5.6,522,8,2
15347,tt0059555,7.3,1141,16,13
15348,tt0435761,8.3,611141,745,455
15349,tt1568150,7.4,3341,32,98
15350,tt0043859,7.3,2624,49,20
15351,tt0041327,6.9,1470,36,9
15352,tt1016321,6.8,2464,7,18
15353,tt1198385,7.2,1986,10,22
15354,tt0191173,8.3,1485,24,6
15355,tt0993779,7.8,2257,6,
15356,tt1227762,4.6,2133,23,6
15357,tt1399683,7.2,119422,311,366
15358,tt1630654,6.4,189,2,2
15359,tt0808237,5.0,1300,11,26
15360,tt1165253,6.6,3137,10,28
15361,tt1075113,5.9,5695,26,46
15362,tt0073349,6.2,2764,60,46
15363,tt0234217,7.6,3197,7,10
15364,tt0062728,7.2,2558,24,35
15365,tt0063557,6.8,2562,35,16
15366,tt0102522,5.4,2778,32,52
15367,tt0269743,7.1,3398,23,25
15368,tt0008663,7.4,1120,10,7
15369,tt1087474,2.5,1587,28,24
15370,tt1540814,7.1,1438,8,41
15371,tt1145479,6.9,511,2,1
15372,tt0892791,6.3,152254,178,225
15373,tt1007018,5.5,3127,11,21
15374,tt1244588,2.3,800,7,4
15375,tt0105355,8.2,883,14,1
15376,tt0389011,8.4,118,6,
15377,tt0060847,7.2,213,2,1
15378,tt1204773,6.7,2944,20,80
15379,tt1337057,6.3,16300,132,59
15380,tt0974544,7.7,445,4,
15381,tt0441674,6.8,625,11,30
15382,tt0082596,7.2,335,2,13
15383,tt0029077,7.3,173,2,3
15384,tt0484064,5.8,210,4,1
15385,tt0954947,6.1,30234,182,224
15386,tt1493886,6.3,1758,22,39
15387,tt0104111,7.2,317,6,2
15388,tt0010307,7.3,1038,15,22
15389,tt0466899,5.1,348,7,2
15390,tt0243415,5.5,471,17,15
15391,tt0942891,6.5,2693,26,16
15392,tt1179794,6.6,11296,44,27
15393,tt0020514,7.8,1107,13,4
15394,tt0019591,7.7,1139,13,9
15395,tt1134665,6.0,350,3,39
15396,tt0085656,6.8,1068,18,3
15397,tt0095530,7.5,887,13,10
15398,tt1187046,5.9,741,8,2
15399,tt0813980,7.5,24302,31,19
15400,tt0039243,7.0,1408,45,17
15401,tt0035153,7.1,1513,24,21
15402,tt0065636,7.1,1046,24,10
15403,tt1144539,7.3,6670,43,120
15404,tt1339635,6.3,153,5,27
15405,tt0381131,7.0,1106,8,12
15406,tt1117646,6.8,3817,24,34
15407,tt0030865,7.4,1383,26,14
15408,tt1325004,4.9,197340,503,281
15409,tt1294213,6.4,14217,61,115
15410,tt1315214,6.5,317,3,5
15411,tt1355623,6.3,1102,16,52
15412,tt1157685,7.3,364,4,29
15413,tt0037466,6.9,1131,22,10
15414,tt1291548,6.6,344,2,8
15415,tt1191111,7.3,52846,209,218
15416,tt1034302,6.0,4045,29,35
15417,tt1189345,8.1,1558,6,8
15418,tt0045706,6.0,1391,15,9
15419,tt0059729,7.1,1331,29,15
15420,tt1570417,4.2,254,3,3
15421,tt0770814,5.5,700,9,13
15422,tt0938283,4.2,128479,1409,281
15423,tt0089748,7.9,7320,19,14
15424,tt0060165,7.4,3240,56,9
15425,tt0070959,7.9,3222,25,16
15426,tt0042039,6.9,2965,43,32
15427,tt0335351,6.3,1502,12,26
15428,tt0118976,6.2,2817,13,1
15429,tt0340137,5.6,1999,27,13
15430,tt1166810,6.7,2254,7,23
15431,tt0037367,7.3,2302,44,28
15432,tt0806686,6.7,2402,25,85
15433,tt0492962,4.6,2236,21,27
15434,tt0057982,7.9,1137,22,24
15435,tt0069737,8.2,942,7,5
15436,tt0213968,7.1,223,7,7
15437,tt0780495,6.0,792,7,9
15438,tt0064873,6.9,2306,21,13
15439,tt0062277,8.0,1418,5,5
15440,tt1217616,6.3,2464,14,18
15441,tt0993841,5.3,2075,24,19
15442,tt0313504,5.7,198,6,1
15443,tt0076210,5.9,4505,41,49
15444,tt1609157,7.1,727,12,23
15445,tt0052708,7.4,1951,12,37
15446,tt0036783,6.4,71,2,2
15447,tt0068669,6.5,987,21,13
15448,tt1288633,5.4,212,1,4
15449,tt0445691,7.4,2799,11,19
15450,tt0114469,4.8,1755,14,1
15451,tt0044811,7.2,1524,8,9
15452,tt0040745,7.0,1383,31,11
15453,tt0416716,8.4,2887,11,6
15454,tt1308667,8.5,6332,7,4
15455,tt0365480,4.7,1050,11,4
