,imdb_id,rating,rating_count,review_count,critics_count
30165,tt0189021,6.0,382,1,
30166,tt0084782,5.8,116,0,
30167,tt0081536,6.0,275,1,1
30168,tt0190591,5.8,102,0,
30169,tt0192427,6.4,70,0,
30170,tt0072009,6.4,138,1,
30171,tt0087798,3.9,1545,56,43
30172,tt0403888,1.9,148,12,5
30173,tt0091671,6.0,1517,39,58
30174,tt0889222,7.3,444,8,15
30175,tt0060092,4.9,192,6,4
30176,tt0066914,4.7,1760,53,65
30177,tt0097364,4.2,646,33,22
30178,tt0077917,3.3,259,5,3
30179,tt0085204,5.4,3895,29,35
30180,tt0083959,5.3,2505,38,78
30181,tt3970854,7.3,3376,2,7
30182,tt3474994,7.0,1558,5,32
30183,tt3817848,7.0,719,2,9
30184,tt0780660,3.9,69,2,3
30185,tt1243974,5.4,47506,184,142
30186,tt1109488,5.9,335,9,14
30187,tt0065224,5.6,526,11,17
30188,tt2275813,7.2,1799,9,13
30189,tt0064091,7.2,2620,19,1
30190,tt0019451,7.0,250,12,6
30191,tt3205304,5.9,433,4,2
30192,tt1565068,7.2,1644,1,26
30193,tt2042443,5.6,235,1,12
30194,tt2456720,5.2,773,0,8
30195,tt3237406,6.4,2109,2,9
30196,tt2343371,6.3,614,0,10
30197,tt2402565,5.7,329,0,1
30198,tt3066270,6.3,4023,0,15
30199,tt1808015,6.2,3491,2,14
30200,tt3908634,5.6,979,4,
30201,tt1767372,6.1,20059,50,163
30202,tt0459516,8.4,2477,9,1
30203,tt2387601,7.5,224,1,18
30204,tt3374966,7.2,5667,8,41
30205,tt0074941,4.9,283,5,19
30206,tt2368749,7.2,5158,14,57
30207,tt1539489,6.7,174,6,10
30208,tt3132632,6.2,966,6,29
30209,tt2278284,6.1,474,2,20
30210,tt2182972,5.8,7810,21,43
30211,tt3311588,7.4,166,1,3
30212,tt3402078,7.9,163,1,1
30213,tt0379370,8.2,6421,28,19
30214,tt0116749,7.3,68,1,4
30215,tt2893780,5.3,1064,9,6
30216,tt0070283,8.0,534,23,10
30217,tt3966544,7.5,2331,16,76
30218,tt2215221,6.5,1247,5,63
30219,tt0384328,8.3,361,2,
30220,tt0100712,7.1,329,0,
30221,tt1075340,6.1,41,0,
30222,tt0064542,8.3,991,2,1
30223,tt0075292,7.8,485,0,
30224,tt0065180,8.0,1094,12,1
30225,tt0013690,5.4,75,3,
30226,tt0013823,6.7,461,6,4
30227,tt0210804,8.0,834,2,
30228,tt0346900,6.1,179,1,
30229,tt0110307,6.4,1777,25,7
30230,tt0251590,7.0,181,1,
30231,tt4627104,4.3,1100,63,2
30232,tt2715446,7.2,217,0,2
30233,tt1691343,5.8,198,2,4
30234,tt0979917,5.9,441,17,6
30235,tt1480201,5.1,125,1,
30236,tt2493386,4.5,191,0,
30237,tt3776402,6.5,397,1,
30238,tt0406728,4.8,5213,108,24
30239,tt0447383,5.1,198,1,
