"id","name"
74375,"Cynthia Rothrock"
63941,"Marshall R. Teague"
1093379,"Daniel McVicar"
42137,"Lydie Denier"
53552,"John OLeary"
1243,"Woody Allen"
23931,"Mira Sorvino"
1283,"Helena Bonham Carter"
1164,"F. Murray Abraham"
10560,"Donald Symington"
27392,"Enrico Lo Verso"
25819,"Michele Placido"
1149435,"Piro Milkani"
1180060,"Carmelo Di Mazzarelli"
1904515,"Marjeta Ljarja"
46423,"Olivia dAbo"
6067,"Jay O. Sanders"
8659,"John Terry"
69395,"Bug Hall"
10431,"Jennifer Jason Leigh"
51544,"Mare Winningham"
15854,"Ted Levine"
7268,"Max Perlich"
42746,"John Doe"
198643,"Johnny Morina"
56890,"Malcolm McDowell"
41743,"Maggie Castle"
1569328,"James Rae"
11086,"Michael Ironside"
1466,"Charles Durning"
6194,"Claire Danes"
24366,"Philippe Noiret"
67792,"Massimo Troisi"
10777,"Maria Grazia Cucinotta"
14149,"Renato Scarpa"
538696,"Linda Moretti"
38524,"Lothaire Bluteau"
1019878,"Patrick Goyette"
1019879,"Jean-Louis Millette"
223877,"Ron Burrage"
69301,"Hal Scardino"
69302,"Litefoot"
32225,"Lindsay Crouse"
28633,"Richard Jenkins"
1318612,"Rishi Bhat"
35,"Sally Field"
2628,"Kiefer Sutherland"
821,"Beverly DAngelo"
33689,"Charlayne Woodard"
3037,"Richard Dreyfuss"
21104,"Glenne Headly"
21105,"Jay Thomas"
3019,"Olympia Dukakis"
3905,"William H. Macy"
35690,"Shawn Wayans"
9562,"Marlon Wayans"
66131,"Tracey Cherelle Jones"
27590,"Chris Spencer"
2535,"Vivica A. Fox"
18277,"Sandra Bullock"
5724,"Denis Leary"
5050,"Yaphet Kotto"
8435,"Stephen Dillane"
64998,"Pauly Shore"
16484,"Joey Lauren Adams"
43433,"Teresa Hill"
7676,"William Atherton"
29459,"Patrick Bergin"
40009,"Matt Frewer"
58119,"Austin OBrien"
36898,"Ely Pouget"
72612,"Camille Cooper"
124150,"Jerry Barone"
1161,"Mary Elizabeth Mastrantonio"
4887,"Joe Grifasi"
25879,"Geoff Pierson"
25256,"Victoria Abril"
35137,"Josiane Balasko"
4275,"Alain Chabat"
13689,"Ticky Holgado"
35908,"Catherine Hiegel"
9778,"Ice Cube"
9781,"Nia Long"
8396,"Tom Lister Jr."
56902,"John Witherspoon"
1461,"George Clooney"
138,"Quentin Tarantino"
1037,"Harvey Keitel"
3196,"Juliette Lewis"
11158,"Ernest Liu"
13021,"William Baldwin"
33665,"Cindy Crawford"
782,"Steven Berkoff"
4443,"Christopher McDonald"
30488,"Miguel Sandoval"
52419,"Josh Hamilton"
52930,"Carlos Jacott"
7036,"Eric Stoltz"
78190,"Chris Eigeman"
3829,"Jean-Paul Belmondo"
35211,"Michel Boujenah"
63895,"Alessandra Martines"
141054,"Salomé Lelouch"
6014,"Annie Girardot"
2224,"Christian Slater"
31140,"Mary Stuart Masterson"
21063,"Pamela Adlon"
16851,"Josh Brolin"
4890,"Brian Tarantina"
8872,"Rick Moranis"
74036,"Tom Arnold"
105962,"Julianne Phillips"
10556,"Carol Kane"
4175,"Jeffrey Tambor"
27811,"Peter Weller"
56977,"Roy Dupuis"
56978,"Jennifer Rubin"
56979,"Andrew Lauer"
25689,"Liliana Komorowska"
938895,"Nico"
109142,"Tina Aumont"
14397,"Jackson Browne"
7491,"John Cale"
18627,"Paul Morrissey"
514,"Jack Nicholson"
5657,"Anjelica Huston"
32,"Robin Wright"
6721,"Piper Laurie"
3416,"Demi Moore"
7447,"Alec Baldwin"
24045,"Joseph Gordon-Levitt"
8256,"Anne Heche"
4691,"James Gandolfini"
1034640,"Aida Mohammadkhani"
1034642,"Mohsen Kafili"
1034643,"Fereshteh Sadre Orafaiy"
1387299,"Anna Borkowska"
1387300,"Mohammad Shahani"
1271,"Andy García"
1062,"Christopher Lloyd"
4520,"William Forsythe"
5502,"Bill Nunn"
4515,"Treat Williams"
13506,"Willeke van Ammelrooy"
13507,"Els Dottermans"
13508,"Dora van der Groen"
13509,"Veerle van Overloop"
13510,"Esther Vriesendorp"
19739,"Al Freeman"
990400,"Victoria Foyt"
22137,"Viveca Lindfors"
69697,"Jon Robin Baitz"
175081,"Savannah Smith Boucher"
24368,"Roscoe Lee Browne"
40900,"Mark Rylance"
14326,"Patsy Kensit"
55037,"Jeremy Kemp"
35862,"Douglas Henshall"
1229,"Jeff Bridges"
6692,"Caroline Goodall"
1206,"Jason Alexander"
6450,"Faye Dunaway"
27564,"Eric Lloyd"
4757,"Rupert Everett"
171373,"Graham Sack"
58198,"Chris Farley"
60950,"David Spade"
31511,"Grant Heslov"
21561,"Tim Matheson"
2048,"Gary Busey"
85,"Johnny Depp"
21365,"Courtney Chase"
4690,"Christopher Walken"
21366,"Roma Maffia"
12261,"Jason Patric"
9030,"Thandie Newton"
16476,"Larry Drake"
8975,"Sam Waterston"
11867,"Eric Mabius"
1204,"Julia Roberts"
6949,"John Malkovich"
47722,"George Cole"
5658,"Michael Gambon"
515,"Glenn Close"
776,"Eddie Murphy"
32486,"Allen Payne"
66554,"Kadeem Hardison"
11315,"Noah Emmerich"
49425,"Annabeth Gish"
34485,"Lauren Holly"
16327,"Timothy Hutton"
20767,"Samantha Mathis"
18792,"Delroy Lindo"
29859,"Richard Briers"
13637,"Joan Collins"
17483,"Michael Maloney"
32357,"Nicholas Farrell"
12094,"Jennifer Saunders"
1925,"Vincent Cassel"
5418,"Hubert Koundé"
5419,"Saïd Taghmaoui"
5420,"Abdel Ahmed Ghili"
72270,"Souleymane Dicko"
41381,"Sadie Frost"
9642,"Jude Law"
28848,"Sean Pertwee"
30087,"Fraser James"
92561,"Nick Broomfield"
92032,"Heidi Fleiss"
1144665,"Madam Alex"
1144666,"Ivan Nagy"
74954,"Corinne Bohrer"
3036,"John Cusack"
1004,"Danny Aiello"
2641,"Martin Landau"
36422,"Luke Wilson"
887,"Owen Wilson"
74940,"Lumi Cavazos"
71555,"Andrew Wilson"
52797,"Robert Musgrave"
14,"Ellen DeGeneres"
8984,"Bill Pullman"
3234,"Joan Cusack"
923,"Dean Stockwell"
23709,"Joan Plowright"
11477,"Ray Liotta"
9625,"Linda Fiorentino"
9979,"Peter Coyote"
19839,"David Paymer"
19292,"Adam Sandler"
7399,"Ben Stiller"
31171,"Julie Bowen"
11794,"Frances Bay"
5064,"Meryl Streep"
190,"Clint Eastwood"
6907,"Annie Corley"
10379,"Victor Slezak"
10380,"Jim Haynie"
22686,"Maria Schrader"
70887,"Pierre Sanoussi-Bliss"
70888,"Michael von Au"
9931,"Elisabeth Trissenaar"
1084,"Joachim Król"
13472,"Tim Curry"
19996,"Kevin Bishop"
9188,"Billy Connolly"
64181,"Dave Goelz"
937034,"Christy Turlington"
937035,"Azzedine Alaïa"
103057,"Giorgio Armani"
50841,"Nadja Auermann"
3664,"Sandra Bernhard"
1112607,"Rustam Branaman"
36197,"Jennifer MacDonald"
4944,"Taylor Nichols"
56930,"David Selby"
2462,"Catherine McCormack"
1957,"Sophie Marceau"
2463,"Patrick McGoohan"
2464,"Angus Macfadyen"
1036,"Cybill Shepherd"
1038,"Jodie Foster"
1039,"Peter Boyle"
18897,"Jackie Chan"
44917,"Anita Mui"
10875,"Françoise Yip"
44922,"Bill Tung"
44919,"Marc Akerstream"
3896,"Liam Neeson"
820,"Edward Furlong"
658,"Alfred Molina"
1473,"Daniel von Bargen"
19901,"Clive Russell"
198287,"Craig Olejnik"
6074,"Kenneth Welsh"
12270,"Michel Serrault"
30641,"Eddy Mitchell"
20851,"Sabine Azéma"
2744,"Carmen Maura"
77929,"François Morel"
81023,"Tobias Arnold"
53367,"Ruth Sheen"
81024,"Roger Lloyd Pack"
5312,"Hugh OConor"
81025,"Norman Caro"
520,"Sarah Jessica Parker"
5590,"Elle Macpherson"
1245,"Scarlett Johansson"
68185,"Eric Schaeffer"
68186,"Dominic Chianese"
1903,"Alan Arkin"
10768,"Rachel Ticotin"
532,"Joe Pantoliano"
18316,"Ally Walker"
4587,"Halle Berry"
26485,"Jim Belushi"
13446,"Eliza Dushku"
17770,"Kevin Tighe"
1195879,"Brian Dooley"
946161,"Philip Dinn"
1828572,"Brian Dodd"
59153,"Robin Givens"
58563,"David Alan Grier"
10661,"Grace Jones"
56830,"Brigitte Lin"
1337,"Tony Leung Chiu-Wai"
12671,"Faye Wong"
2166,"Sergio Castellitto"
258039,"Tiziana Lodato"
592480,"Franco Scaldati"
14151,"Leopoldo Trieste"
652000,"Clelia Rondinella"
4687,"Patricia Arquette"
4939,"Téa Leoni"
21277,"Mary Tyler Moore"
21278,"Alan Alda"
18259,"Jason James Richter"
57236,"Melody Kay"
27111,"Kevin McNulty"
134061,"Tracey Ellis"
70851,"Jack Black"
1311669,"Amel Hedhili"
1311670,"Najia Ouerghi"
1311671,"Fatima Ben Saïdane"
1311672,"Zahira Ben Ammar"
1311673,"Sabah Bouzouita"
1435458,"Maggie Cogan"
2694,"Josh Charles"
1230,"John Goodman"
77133,"Christine Lahti"
4003,"Christine Ebersole"
143151,"Miranda Rhyne"
196180,"Charlotte Eve Blythe"
3711,"Anna Levine"
87707,"John Ventimiglia"
1590957,"Io Tillett Wright"
567972,"Corban Walker"
57298,"Anne Parillaud"
140230,"Niall Toibin"
16560,"David Caruso"
2712,"Michael Biehn"
16554,"Richard Crenna"
222473,"Luisito Marti"
222477,"Alfonso Zayas"
71839,"Caridad Ravelo"
222474,"Raúl Carbonell hijo"
1809293,"Rafael Villalona"
1650801,"Lloyd Dunn"
1292738,"Chris Grigg"
1292739,"Mark Hosler"
1292740,"Don Joyce"
1650802,"Doug Kahn"
7090,"Kelsey Grammer"
60949,"Rob Schneider"
5048,"Harry Dean Stanton"
6905,"Bruce Dern"
3830,"Jean Seberg"
54782,"Mary Beth Hurt"
45382,"Dirk Shafer"
45386,"Mary Stein"
45387,"Claudette Sutherland"
45388,"Cal Bartlett"
45389,"Vivian Paxton"
93396,"Jacob Tierney"
