"","imdb_id","rating","rating_count","review_count","critics_count"
"162","tt0112857",6.7,14569,59,58
"163","tt0112864",7.6,320280,352,148
"164","tt0112887",6,12208,199,64
"165","tt0113044",6.3,439,8,11
"166","tt0113071",5.9,59601,188,54
"167","tt0113114",4.9,14064,19,18
"168","tt0113243",6.2,58218,228,82
"169","tt0113464",6.7,5099,52,16
"170","tt0113481",5.6,59254,139,88
"171","tt0113492",5.5,95948,232,102
"172","tt0113500",4.1,6619,39,11
"173","tt0113540",7,63627,405,69
"174","tt0113677",7.6,13769,78,47
"175","tt0113690",6.1,12103,72,75
"176","tt0107447",6.7,2262,17,17
"177","tt0113729",5.3,5588,55,13
"178","tt0113749",7.2,104117,439,89
"179","tt0113820",5.1,21834,137,78
"180","tt0113851",5.8,3108,22,26
"181","tt0110604",6.8,4682,63,44
"182","tt0110620",6,2610,42,31
"183","tt0113957",5.9,52266,171,47
"184","tt0113986",5.5,31615,101,36
"185","tt0114095",6.6,3813,35,26
"186","tt0114194",6.6,25804,196,58
"187","tt0114241",5.1,394,19,8
"188","tt0114323",7.2,9596,121,89
"189","tt0114345",5.2,12817,90,35
"190","tt0114435",6.8,305,2,4
"191","tt0114436",4.7,53751,466,185
"192","tt0114478",7.4,29691,75,55
"193","tt0114496",5.7,11185,47,35
"194","tt0114508",5.8,65145,147,108
"195","tt0114534",6.6,648,14,12
"196","tt0114558",7.2,58330,230,103
"197","tt0058450",7.8,17896,132,99
"198","tt0114666",5,988,10,14
"199","tt0114663",6.2,2327,30,14
"200","tt0114702",6.6,11452,79,30
"201","tt0114682",6.4,23216,118,25
"202","tt0114781",5.4,38510,130,44
"203","tt0114798",6.7,2795,31,30
"204","tt0114805",6.4,971,15,23
"205","tt0114887",6.7,26813,103,28
"206","tt0114898",6.1,155181,319,96
"207","tt0114928",5.2,4223,50,18
"208","tt0114938",5.9,5378,56,27
"209","tt0109340",7.3,2647,31,16
"210","tt0112602",5.5,4897,18,12
"211","tt0111579",8,12154,76,29
"212","tt0110882",8.1,12102,72,32
"213","tt0112471",8.1,210403,410,133
"214","tt0112508",6.4,113364,218,48
"215","tt0112438",4.3,3849,39,16
"216","tt0112571",6.4,10276,42,29
"217","tt0112757",7.7,8118,69,21
"218","tt0112643",5.9,4810,76,84
"219","tt0112679",6.6,7344,50,24
"220","tt0109445",7.8,191850,630,133
"221","tt0112883",6.7,43747,123,43
"222","tt0109635",6,39522,95,57
"223","tt0112899",4.7,224,2,0
"224","tt0109676",5.6,16922,42,23
"225","tt0112854",4.5,1966,26,15
"226","tt0109579",7.3,19013,79,57
"227","tt0109642",7.4,31559,174,60
"228","tt0109686",7.3,309593,443,88
"229","tt0111797",7.8,15126,74,57
"230","tt0109759",7.1,15559,89,53
"231","tt0109758",4.1,5827,68,16
"232","tt0109707",7.9,150288,434,152
"233","tt0113117",6.6,41243,120,42
"234","tt0113097",6.4,9975,54,32
"235","tt0113028",6.4,2200,17,12
"236","tt0113198",6.8,37368,95,27
"237","tt0113303",5.3,5444,52,27
"238","tt0113089",6.7,5618,40,22
"239","tt0109771",6.9,5468,39,18
"240","tt0113199",3.9,1706,31,11
"241","tt0113234",6.3,602,13,9
"242","tt0109906",6.6,2979,16,21
"243","tt0110057",8.3,20863,74,56
"244","tt0110005",7.4,53239,270,94
"245","tt0110066",5.9,4768,42,11
"246","tt0110116",7.5,20266,121,34
"247","tt0110006",6.7,21340,68,15
"248","tt0113360",5.9,4007,54,30
"249","tt0110099",6.2,21062,77,29
"250","tt0110148",7.6,257354,418,125
"251","tt0113463",5.7,2547,28,20
"252","tt0110189",4.6,2217,38,10
"253","tt0110216",4.6,57397,77,36
"254","tt0113501",6.4,21129,83,30
"255","tt0113538",4.8,4953,16,10
"256","tt0113552",5.9,15067,59,41
"257","tt0076759",8.7,1013668,1541,293
"258","tt0110367",7.3,39803,135,27
"259","tt0113670",7.7,27181,121,27
"260","tt0110296",7.5,2597,16,10
"261","tt0109731",7.2,3368,27,25
"262","tt0103994",7.2,14650,155,31
"263","tt0110322",7.5,122816,335,61
"264","tt0110443",6.2,24751,57,15
"265","tt0110365",6.8,6125,42,32
"266","tt0107566",6.5,1634,28,10
"267","tt0110391",5.9,3942,44,14
"268","tt0113691",6.4,4751,41,14
"269","tt0110428",7.2,13081,59,39
"270","tt0109836",6.4,45370,258,91
"271","tt0113755",5,7134,24,15
"272","tt0110538",5.4,8676,101,23
"273","tt0110516",5.5,9937,46,18
"274","tt0110527",6.4,24809,78,38
"275","tt0113808",5.4,2835,30,17
"276","tt0113896",7.3,3239,21,18
"277","tt0113870",7.3,23293,113,42
"278","tt0110684",7.4,15872,92,44
"279","tt0110638",6.5,24166,88,25
"280","tt0113967",6.7,2362,17,8
"281","tt0117169",4.3,165,3,4
"282","tt0106402",3.4,421,8,6
"283","tt0113948",4.7,1396,20,8
"284","tt0110671",5.6,519,5,12
"285","tt0110632",7.3,187433,603,138
"286","tt0110737",6.5,16891,87,20
"287","tt0110729",7.9,27350,274,55
"288","tt0114151",4.4,4807,36,7
"289","tt0114069",6.6,96142,137,65
"290","tt0110413",8.6,818454,887,167
"291","tt0114113",6.1,1860,19,15
"292","tt0114210",5.4,907,12,7
"293","tt0110912",8.9,1475100,2376,224
"294","tt0114084",6.4,1961,20,13
"295","tt0105652",7.3,2859,11,12
"296","tt0110889",7.1,8709,77,31
"297","tt0110932",7.5,57517,165,62
"298","tt0114129",6.7,1000,12,11
"299","tt0110963",7.5,14481,58,33
"300","tt0114214",6.4,73756,224,62
"301","tt0114296",6.4,1516,18,11
"302","tt0110907",5.1,13066,56,19
"303","tt0111495",8.1,69877,134,97
"304","tt0108394",8,69553,167,100
"305","tt0111507",7.7,49559,85,82
"306","tt0110769",7,442,9,9
"307","tt0114268",5.5,1665,10,1
"308","tt0110965",5.7,261,6,2
"309","tt0114571",5.3,2389,46,13
"310","tt0111333",6.4,19183,61,15
"311","tt0111112",7.5,6341,65,21
"312","tt0111255",5.5,54392,125,39
"313","tt0111282",7.1,157381,263,97
"314","tt0111070",6.4,73533,118,69
"315","tt0111161",9.3,1885842,4893,207
"316","tt0111149",7.3,49555,143,87
"317","tt0108260",6.6,1456,33,29
"318","tt0106966",7.5,4603,28,22
"319","tt0114594",7.1,20145,150,39
"320","tt0111309",7.4,4567,69,18
"321","tt0113936",5.6,4873,48,11
"322","tt0110081",8.3,12883,91,21
"323","tt0114614",5.3,26466,176,63
"324","tt0114608",6.7,17974,109,60
"325","tt0111280",6.6,65350,265,100
"326","tt0114609",6.2,5175,57,33
"327","tt0111454",6.5,1365,21,8
"328","tt0114852",5.6,23850,121,84
"329","tt0114694",7.1,66753,199,53
"330","tt0111590",7.5,3660,32,34
"331","tt0114788",6.2,2743,35,29
"332","tt0114888",4.8,660,9,7
"333","tt0108550",7.8,185049,297,81
"334","tt0114857",5.6,24905,90,46
"335","tt0114924",6.7,77797,191,58
"336","tt0111667",6.7,10816,61,23
"337","tt0109655",7.2,965,23,20
"338","tt0110598",7.2,29987,159,55
"339","tt0112435",5.8,4623,38,21
"340","tt0109040",6.9,235910,248,67
"341","tt0109045",7.5,39931,139,55
"342","tt0106339",6.7,5080,28,21
"343","tt0104779",7.2,28390,109,62
"344","tt0109348",7.5,31503,88,60
"345","tt0109444",6.9,75112,137,42
"346","tt0109446",6.7,50140,95,43
"347","tt0109484",6.5,10756,45,19
"348","tt0109504",6.9,6664,40,28
"349","tt0109506",7.6,146257,560,126
"350","tt0109450",6.5,6270,58,20
"351","tt0109813",4.8,64984,90,36
"352","tt0109830",8.8,1423158,1557,144
"353","tt0109831",7.1,116554,204,82
"354","tt0113305",6.5,15717,135,30
"355","tt0110091",6.8,1299,12,12
"356","tt0110093",5.2,10204,36,22
"357","tt0110167",6.3,29801,76,34
"358","tt0110213",6,14129,38,23
"359","tt0107472",8,1332,22,30
"360","tt0110357",8.5,734247,716,195
"361","tt0107426",6,13336,76,34
"362","tt0111686",6.4,42161,283,82
"363","tt0110475",6.9,289685,226,64
"364","tt0110478",7,88968,115,41
"365","tt0110588",6.4,3814,44,25
"366","tt0110622",6.5,83160,89,45
"367","tt0110771",6.6,11202,70,33
"368","tt0110950",6.6,38996,145,48
"369","tt0105226",7,17003,78,51
"370","tt0110989",5.3,54174,40,18
"371","tt0111054",6.4,1086,10,11
"372","tt0110997",6.3,35498,71,46
"373","tt0111257",7.2,281913,387,120
"374","tt0111256",5.7,4314,30,20
"375","tt0111438",5.8,48110,121,69
"376","tt0111503",7.2,204638,362,95
"377","tt0111693",6.5,17870,99,24
"378","tt0111742",6.2,46450,140,74
