,imdb_id,rating,rating_count,review_count,critics_count
0,tt0114709,8.3,703739,422,171
1,tt0113497,6.9,235980,169,80
2,tt0113228,6.6,20901,60,26
3,tt0114885,5.7,8044,49,27
4,tt0113041,5.9,28905,66,37
5,tt0113277,8.2,475742,922,183
6,tt0114319,6.3,31705,122,47
7,tt0112302,5.6,8251,20,14
8,tt0114576,5.7,27716,115,50
9,tt0113189,7.2,211215,431,148
10,tt0112346,6.8,45589,217,55
11,tt0112896,5.8,32975,132,48
12,tt0112453,7.1,33388,88,21
13,tt0113987,7.1,25589,166,83
14,tt0112760,5.6,22701,174,60
15,tt0112641,8.2,372407,558,138
16,tt0114388,7.7,85187,203,69
17,tt0113101,6.7,84584,181,53
18,tt0112281,6.3,174461,181,62
19,tt0113845,5.6,34357,67,42
20,tt0113161,6.9,66836,153,98
21,tt0112722,6.6,45476,146,58
22,tt0112401,6.3,67962,89,62
23,tt0114168,6.6,25817,162,33
24,tt0113627,7.6,100019,297,102
25,tt0114057,6.9,8045,48,28
26,tt0114011,6.8,22892,125,16
27,tt0114117,7.7,9192,90,27
28,tt0112682,7.6,58877,234,73
29,tt0115012,7.2,4483,38,28
30,tt0112792,6.4,41294,84,40
31,tt0114746,8.0,505507,559,149
32,tt0114952,6.5,541,9,4
33,tt0112431,6.8,101382,187,80
34,tt0112637,6.9,4649,53,34
35,tt0112818,7.6,77914,198,76
36,tt0112286,6.4,217,9,7
37,tt0113442,5.8,16385,47,21
38,tt0112697,6.8,139092,259,89
39,tt0112749,6.9,1525,24,16
40,tt0114279,7.5,12299,91,56
41,tt0112819,6.9,16558,81,33
42,tt0114272,6.7,7938,45,26
43,tt0113855,5.8,87678,295,74
44,tt0114681,6.8,37296,165,60
45,tt0113347,6.2,9283,44,28
46,tt0114369,8.6,1150088,1131,231
47,tt0114148,6.7,135884,223,95
48,tt0114916,6.7,5768,54,23
49,tt0114814,8.6,824379,1228,167
50,tt0109950,4.8,250,8,8
51,tt0113819,7.1,33973,93,51
52,tt0110299,7.6,1836,12,17
53,tt0112499,5.5,7566,23,13
54,tt0113158,6.5,2547,37,20
55,tt0113541,4.9,277,1,1
56,tt0113321,6.6,9899,78,49
57,tt0110877,7.7,28272,108,36
58,tt0112714,7.6,1413,8,8
59,tt0113419,5.9,22207,47,24
60,tt0116260,6.1,11080,82,33
61,tt0113862,7.3,31796,157,41
62,tt0116126,6.6,41276,121,32
63,tt0118002,5.2,4780,30,16
